,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9900893568992616,5526.451914310455,DyGrEncoder,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9805861711502076,36200.103377342224,DyGrEncoder,windmillsmall
2,STGCN,0.2861435009657343,block,8,12,linear,50,0.9924504160881042,8348.501356601715,DyGrEncoder,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9817711710929872,33129.793120622635,DyGrEncoder,windmillsmall
4,STGCN,0.2861435009657343,block,8,12,linear,50,0.9871240258216858,6016.865395784378,DyGrEncoder,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9806329607963562,40555.82083153725,DyGrEncoder,windmillsmall
6,STGCN,0.2861435009657343,block,8,12,linear,50,0.9817368984222412,5301.4022834301,DyGrEncoder,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981124997138977,40178.39379310608,DyGrEncoder,windmillsmall
8,STGCN,0.2861435009657343,block,8,12,linear,50,0.987601101398468,4880.895943880081,DyGrEncoder,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9821646213531494,45575.37052536011,DyGrEncoder,windmillsmall
10,STGCN,0.2861435009657343,block,8,12,linear,50,0.9856461882591248,3325.47335767746,DyGrEncoder,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9810265898704528,50615.99915981293,DyGrEncoder,windmillsmall
12,STGCN,0.2861435009657343,block,8,12,linear,50,0.9936828017234802,19152.33015203476,DyGrEncoder,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9811016321182252,60542.63912153244,DyGrEncoder,windmillsmall
14,STGCN,0.2861435009657343,block,8,12,linear,50,0.9835228323936462,25199.13951587677,DyGrEncoder,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9814966917037964,88282.92257022858,DyGrEncoder,windmillsmall
16,STGCN,0.2861435009657343,block,8,12,linear,50,0.9833228588104248,9590.723566055298,DyGrEncoder,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9810042977333068,56598.45115685463,DyGrEncoder,windmillsmall
18,STGCN,0.2861435009657343,block,8,12,linear,50,0.9865097403526306,7371.56477355957,DyGrEncoder,windmillsmall
19,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9809610843658448,60465.33194708824,DyGrEncoder,windmillsmall
20,STGCN,0.2861435009657343,block,8,12,linear,50,0.9954281449317932,8896.357036828995,DyGrEncoder,windmillsmall
21,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9806258082389832,72259.71132969856,DyGrEncoder,windmillsmall
22,STGCN,0.2861435009657343,block,8,12,linear,50,0.9946683049201964,11290.244432926178,DyGrEncoder,windmillsmall
23,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9831702709197998,62782.50596046448,DyGrEncoder,windmillsmall
